,time (s),Channel 1 (V),Channel 2 (V)
234,-0.01018,0.72,0.4
235,-0.01017,0.76,0.44
236,-0.010159999999999999,0.76,0.44
237,-0.01015,0.76,0.48
238,-0.01014,0.68,0.48
239,-0.01013,0.56,0.48
240,-0.01012,0.44,0.48
241,-0.01011,0.32,0.48
242,-0.0101,0.16,0.44
243,-0.01009,0.0,0.44
244,-0.010079999999999999,-0.08,0.4
245,-0.010069999999999999,-0.16,0.36
246,-0.01006,-0.2,0.32
247,-0.01005,-0.2,0.28
248,-0.01004,-0.16,0.28
249,-0.01003,-0.08,0.24
250,-0.01002,0.0,0.2
251,-0.01001,0.12,0.16
252,-0.01,0.24,0.2
253,-0.009989999999999999,0.32,0.2
254,-0.00998,0.44,0.2
255,-0.00997,0.48,0.2
256,-0.00996,0.48,0.24
257,-0.00995,0.44,0.24
258,-0.00994,0.4,0.28
259,-0.00993,0.28,0.28
260,-0.00992,0.16,0.24
261,-0.009909999999999999,0.0,0.28
262,-0.009899999999999999,-0.12,0.24
263,-0.00989,-0.28,0.2
264,-0.00988,-0.4,0.12
265,-0.00987,-0.48,0.12
266,-0.00986,-0.48,0.08
267,-0.00985,-0.48,0.04
268,-0.00984,-0.48,0.0
269,-0.00983,-0.4,-0.04
270,-0.009819999999999999,-0.28,-0.04
271,-0.00981,-0.16,-0.08
272,-0.0098,-0.04,-0.08
273,-0.00979,0.08,-0.08
274,-0.00978,0.16,-0.04
275,-0.00977,0.2,-0.04
276,-0.00976,0.2,-0.04
277,-0.00975,0.2,-0.04
278,-0.009739999999999999,0.12,0.0
279,-0.009729999999999999,0.04,0.0
280,-0.00972,-0.12,0.0
281,-0.00971,-0.28,0.0
282,-0.0097,-0.4,-0.04
283,-0.00969,-0.52,-0.08
284,-0.00968,-0.6,-0.12
285,-0.00967,-0.68,-0.16
286,-0.00966,-0.72,-0.2
287,-0.009649999999999999,-0.72,-0.2
288,-0.00964,-0.68,-0.28
289,-0.00963,-0.56,-0.28
290,-0.00962,-0.44,-0.32
