tempo(s),Vbb(V),Vbe(V),Vce(V)
0.124,6.0,0.72,0.32
0.1244,6.0,0.72,0.32
0.1248,6.0,0.72,0.32
0.1252,6.0,0.72,0.32
0.12560000000000002,6.0,0.8,0.32
0.126,6.0,0.8,0.32
0.1264,6.0,0.72,0.32
0.1268,6.0,0.8,0.32
0.1272,6.0,0.8,0.32
0.12760000000000002,6.0,0.72,0.32
0.128,6.0,0.72,0.32
0.1284,5.92,0.72,0.32
0.1288,5.92,0.72,0.32
0.1292,5.92,0.8,0.32
0.1296,5.92,0.72,0.32
0.13,5.92,0.8,0.32
0.13040000000000002,5.92,0.8,0.32
0.1308,5.92,0.72,0.32
0.1312,5.92,0.8,0.32
0.1316,5.92,0.72,0.32
0.132,5.84,0.72,0.32
0.13240000000000002,5.84,0.8,0.32
0.1328,5.92,0.72,0.32
0.1332,5.84,0.8,0.32
0.1336,5.84,0.72,0.32
0.134,5.84,0.72,0.32
0.13440000000000002,5.84,0.72,0.32
0.1348,5.84,0.8,0.32
0.1352,5.84,0.8,0.32
0.1356,5.84,0.72,0.32
0.136,5.84,0.72,0.32
0.1364,5.84,0.72,0.32
0.1368,5.84,0.8,0.32
0.13720000000000002,5.84,0.8,0.32
0.1376,5.84,0.72,0.32
0.138,5.76,0.72,0.32
0.1384,5.76,0.72,0.32
0.1388,5.76,0.72,0.32
0.13920000000000002,5.76,0.8,0.32
0.1396,5.76,0.72,0.32
0.14,5.76,0.8,0.32
0.1404,5.76,0.72,0.32
0.1408,5.76,0.8,0.32
0.14120000000000002,5.76,0.72,0.32
0.1416,5.76,0.72,0.32
0.14200000000000002,5.76,0.8,0.32
0.1424,5.76,0.72,0.32
0.1428,5.68,0.72,0.32
0.1432,5.68,0.72,0.32
0.1436,5.68,0.72,0.32
0.14400000000000002,5.68,0.8,0.32
0.1444,5.68,0.8,0.32
0.1448,5.68,0.8,0.32
0.1452,5.68,0.72,0.32
0.1456,5.68,0.72,0.32
0.14600000000000002,5.68,0.8,0.32
0.1464,5.68,0.72,0.32
0.1468,5.68,0.8,0.32
0.1472,5.6000000000000005,0.8,0.32
0.1476,5.6000000000000005,0.72,0.32
0.14800000000000002,5.6000000000000005,0.72,0.32
0.1484,5.6000000000000005,0.72,0.32
0.14880000000000002,5.6000000000000005,0.72,0.32
0.1492,5.6000000000000005,0.8,0.32
0.1496,5.6000000000000005,0.8,0.32
0.15,5.6000000000000005,0.72,0.32
0.1504,5.6000000000000005,0.72,0.32
0.15080000000000002,5.6000000000000005,0.8,0.32
0.1512,5.6000000000000005,0.72,0.32
0.1516,5.6000000000000005,0.72,0.32
0.152,5.5200000000000005,0.72,0.32
0.1524,5.6000000000000005,0.72,0.32
0.15280000000000002,5.5200000000000005,0.72,0.32
0.1532,5.5200000000000005,0.8,0.4
0.1536,5.5200000000000005,0.72,0.32
0.154,5.5200000000000005,0.72,0.32
0.1544,5.5200000000000005,0.72,0.4
0.15480000000000002,5.5200000000000005,0.72,0.4
0.1552,5.5200000000000005,0.8,0.32
0.15560000000000002,5.5200000000000005,0.72,0.4
0.156,5.5200000000000005,0.72,0.4
0.1564,5.5200000000000005,0.72,0.4
0.1568,5.5200000000000005,0.72,0.4
0.1572,5.5200000000000005,0.72,0.4
0.15760000000000002,5.44,0.8,0.4
0.158,5.44,0.8,0.4
0.1584,5.44,0.72,0.4
0.1588,5.44,0.72,0.4
0.1592,5.44,0.72,0.4
0.15960000000000002,5.44,0.72,0.4
0.16,5.44,0.72,0.4
0.1604,5.44,0.72,0.4
0.1608,5.44,0.72,0.4
0.1612,5.44,0.72,0.4
0.16160000000000002,5.44,0.72,0.4
0.162,5.36,0.72,0.4
0.16240000000000002,5.44,0.72,0.4
0.1628,5.44,0.72,0.4
0.1632,5.36,0.72,0.4
0.1636,5.36,0.72,0.4
0.16399999999999998,5.36,0.72,0.4
0.16440000000000002,5.36,0.72,0.4
0.1648,5.36,0.72,0.4
0.1652,5.36,0.72,0.4
0.1656,5.36,0.72,0.4
0.166,5.36,0.72,0.4
0.16640000000000002,5.36,0.72,0.4
0.1668,5.36,0.72,0.4
0.16720000000000002,5.36,0.72,0.4
0.1676,5.36,0.72,0.4
0.168,5.36,0.72,0.4
0.16840000000000002,5.36,0.72,0.4
0.1688,5.28,0.72,0.48
0.16920000000000002,5.28,0.72,0.4
0.1696,5.28,0.72,0.48
0.17,5.28,0.72,0.48
0.1704,5.28,0.72,0.48
0.1708,5.28,0.72,0.48
0.17120000000000002,5.28,0.72,0.48
0.1716,5.28,0.72,0.48
